Timestamp2,Open,High,Low,Close,Volume
2026-02-05 09:15:00+05:30,25755.9,25757.65,25689.5,25693.1,1378778
2026-02-05 09:15:05+05:30,25697.25,25697.8,25681.85,25697.8,981881
2026-02-05 09:15:10+05:30,25699.95,25704.75,25697.95,25703.8,650400
2026-02-05 09:15:15+05:30,25705.3,25722.45,25705.3,25715.9,759863
2026-02-05 09:15:20+05:30,25717.6,25721.65,25712.1,25719.25,495658
2026-02-05 09:15:25+05:30,25717.4,25723.5,25717.35,25717.35,562810
2026-02-05 09:15:30+05:30,25721.55,25729.0,25721.05,25722.4,378972
2026-02-05 09:15:35+05:30,25726.05,25731.4,25726.05,25727.85,454785
2026-02-05 09:15:40+05:30,25728.6,25731.85,25724.3,25724.3,593543
2026-02-05 09:15:45+05:30,25721.95,25722.45,25716.25,25718.5,464576
2026-02-05 09:15:50+05:30,25718.3,25720.0,25715.7,25715.8,304471
2026-02-05 09:15:55+05:30,25716.15,25724.75,25715.7,25723.5,346635
2026-02-05 09:16:00+05:30,25722.85,25722.95,25718.55,25722.85,369030
2026-02-05 09:16:05+05:30,25722.75,25735.55,25722.75,25729.3,414567
2026-02-05 09:16:10+05:30,25728.65,25730.9,25725.85,25726.7,248224
2026-02-05 09:16:15+05:30,25727.8,25730.3,25722.85,25722.85,365964
2026-02-05 09:16:20+05:30,25723.5,25725.45,25721.5,25721.5,247043
2026-02-05 09:16:25+05:30,25720.85,25725.65,25720.85,25723.85,239909
2026-02-05 09:16:30+05:30,25723.05,25727.7,25722.3,25726.35,331695
2026-02-05 09:16:35+05:30,25725.15,25725.15,25721.45,25722.45,265296
2026-02-05 09:16:40+05:30,25723.25,25723.45,25719.2,25723.45,248631
2026-02-05 09:16:45+05:30,25724.7,25726.8,25718.5,25718.5,239779
2026-02-05 09:16:50+05:30,25718.1,25719.1,25717.35,25717.4,175381
2026-02-05 09:16:55+05:30,25717.45,25722.45,25717.1,25717.1,204025
2026-02-05 09:17:00+05:30,25718.2,25722.95,25717.05,25722.85,199319
2026-02-05 09:17:05+05:30,25725.3,25726.9,25722.9,25723.3,195647
2026-02-05 09:17:10+05:30,25722.1,25722.95,25719.75,25722.95,226309
2026-02-05 09:17:15+05:30,25723.0,25724.15,25720.2,25721.85,186856
