timestamp,close,open,high,low,volume
2025-07-02 09:15:00+05:30,25590.09,25539.78,25608.1,25539.78,0
2025-07-02 09:20:00+05:30,25591.71,25564.93,25604.55,25564.93,0
2025-07-02 09:25:00+05:30,25574.19,25578.32,25584.4,25559.05,0
2025-07-02 09:30:00+05:30,25559.12,25576.26,25576.45,25545.55,0
2025-07-02 09:35:00+05:30,25552.95,25567.69,25567.69,25546.75,0
2025-07-02 09:40:00+05:30,25545.46,25560.32,25560.32,25533.35,0
2025-07-02 09:45:00+05:30,25538.55,25552.89,25552.89,25531.3,0
2025-07-02 09:50:00+05:30,25545.8,25545.72,25559.15,25540.05,0
2025-07-02 09:55:00+05:30,25540.43,25545.76,25553.5,25532.7,0
2025-07-02 10:00:00+05:30,25528.41,25543.09,25543.09,25517.25,0
2025-07-02 10:05:00+05:30,25522.12,25535.75,25535.75,25513.05,0
2025-07-02 10:10:00+05:30,25523.68,25528.94,25530.9,25518.4,0
2025-07-02 10:15:00+05:30,25513.89,25526.31,25526.31,25496.85,0
2025-07-02 10:20:00+05:30,25515.68,25520.1,25528.15,25507.85,0
2025-07-02 10:25:00+05:30,25521.59,25517.89,25528,25515,0
2025-07-02 10:30:00+05:30,25517.79,25519.74,25523,25511.3,0
2025-07-02 10:35:00+05:30,25504.38,25518.76,25518.76,25492.7,0
2025-07-02 10:40:00+05:30,25490.79,25511.57,25511.57,25482.5,0
2025-07-02 10:45:00+05:30,25491.96,25501.18,25501.18,25485.6,0
2025-07-02 10:50:00+05:30,25491.48,25496.57,25496.57,25487.4,0
2025-07-02 10:55:00+05:30,25493.16,25494.02,25498.75,25488.85,0
2025-07-02 11:00:00+05:30,25486.95,25493.59,25494.45,25475.1,0
2025-07-02 11:05:00+05:30,25480.3,25490.27,25490.27,25473.5,0
2025-07-02 11:10:00+05:30,25473.75,25485.29,25485.29,25466.7,0
2025-07-02 11:15:00+05:30,25474.99,25479.52,25481.7,25463.4,0
2025-07-02 11:20:00+05:30,25481.71,25477.25,25488.25,25475.2,0
2025-07-02 11:25:00+05:30,25490.91,25479.48,25501.5,25479.48,0
2025-07-02 11:30:00+05:30,25484.39,25485.2,25494.3,25473.25,0
2025-07-02 11:35:00+05:30,25478.54,25484.79,25485.9,25474.4,0
2025-07-02 11:40:00+05:30,25479.84,25481.67,25485.45,25472.95,0
2025-07-02 11:45:00+05:30,25491,25480.75,25500.15,25480.45,0
2025-07-02 11:50:00+05:30,25494.55,25485.88,25499.75,25485.25,0
2025-07-02 11:55:00+05:30,25493.06,25490.21,25496.75,25489.8,0
2025-07-02 12:00:00+05:30,25488.26,25491.64,25492.45,25480.1,0
2025-07-02 12:05:00+05:30,25493.54,25489.95,25498.75,25487.7,0
2025-07-02 12:10:00+05:30,25498.71,25491.74,25503.95,25491.74,0
2025-07-02 12:15:00+05:30,25495.38,25495.23,25501.35,25488.95,0
2025-07-02 12:20:00+05:30,25493.22,25495.3,25496.8,25489.55,0
2025-07-02 12:25:00+05:30,25493.11,25494.26,25497.05,25488.8,0
2025-07-02 12:30:00+05:30,25490.75,25493.69,25495.6,25486.8,0
2025-07-02 12:35:00+05:30,25488.9,25492.22,25492.22,25484.7,0
2025-07-02 12:40:00+05:30,25491.05,25490.56,25495.65,25484.65,0
2025-07-02 12:45:00+05:30,25488.61,25490.8,25495.65,25480.15,0
2025-07-02 12:50:00+05:30,25476.45,25489.71,25489.71,25460.35,0
2025-07-02 12:55:00+05:30,25475.76,25483.08,25483.08,25472.25,0
2025-07-02 13:00:00+05:30,25480.22,25479.42,25489.95,25471.4,0
2025-07-02 13:05:00+05:30,25482.61,25479.82,25487.2,25477.35,0
2025-07-02 13:10:00+05:30,25471.86,25481.22,25481.7,25463.05,0
2025-07-02 13:15:00+05:30,25453.62,25476.54,25476.54,25443.15,0
2025-07-02 13:20:00+05:30,25437.4,25465.08,25465.08,25427.35,0
2025-07-02 13:25:00+05:30,25418.42,25451.24,25451.24,25404.2,0
2025-07-02 13:30:00+05:30,25404.88,25434.83,25434.83,25389.55,0
2025-07-02 13:35:00+05:30,25411.88,25419.85,25419.85,25405.95,0
2025-07-02 13:40:00+05:30,25403.72,25415.86,25417.65,25384.6,0
2025-07-02 13:45:00+05:30,25395.19,25409.79,25409.79,25383.95,0
2025-07-02 13:50:00+05:30,25398.51,25402.49,25407.15,25393.55,0
2025-07-02 13:55:00+05:30,25399.9,25400.5,25408.4,25387.75,0
2025-07-02 14:00:00+05:30,25404.24,25400.2,25408.6,25397.25,0
2025-07-02 14:05:00+05:30,25408.74,25402.22,25414.85,25402.22,0
2025-07-02 14:10:00+05:30,25416.64,25405.48,25425.1,25405.48,0
2025-07-02 14:15:00+05:30,25418.7,25411.06,25423.85,25411.06,0
