Date,Open,High,Low,Close
2016-01-01 05:30:00+05:30,7938.45,7972.55,7909.8,7963.2
2016-01-04 05:30:00+05:30,7924.55,7937.55,7781.1,7791.3
2016-01-05 05:30:00+05:30,7828.4,7831.2,7763.25,7784.65
2016-01-06 05:30:00+05:30,7788.05,7800.95,7721.2,7741.0
2016-01-07 05:30:00+05:30,7673.35,7674.95,7556.6,7568.3
2016-01-08 05:30:00+05:30,7611.65,7634.1,7581.05,7601.35
2016-01-11 05:30:00+05:30,7527.45,7605.1,7494.35,7563.85
2016-01-12 05:30:00+05:30,7587.2,7588.3,7487.8,7510.3
2016-01-13 05:30:00+05:30,7557.9,7590.95,7425.8,7562.4
2016-01-14 05:30:00+05:30,7467.4,7604.8,7443.8,7536.8
2016-01-15 05:30:00+05:30,7561.65,7566.5,7427.3,7437.8
2016-01-18 05:30:00+05:30,7420.35,7463.65,7336.4,7351.0
2016-01-19 05:30:00+05:30,7381.8,7462.75,7364.15,7435.1
2016-01-20 05:30:00+05:30,7357.0,7470.9,7241.5,7309.3
2016-01-21 05:30:00+05:30,7376.65,7398.7,7250.0,7276.8
2016-01-22 05:30:00+05:30,7355.7,7433.4,7327.6,7422.45
2016-01-25 05:30:00+05:30,7468.75,7487.15,7421.2,7436.15
2016-01-27 05:30:00+05:30,7469.6,7477.9,7419.7,7437.75
2016-01-28 05:30:00+05:30,7426.5,7468.85,7409.6,7424.65
2016-01-29 05:30:00+05:30,7413.35,7575.65,7402.8,7563.55
2016-02-01 05:30:00+05:30,7589.5,7600.45,7541.25,7555.95
2016-02-02 05:30:00+05:30,7566.65,7576.3,7428.05,7455.55
2016-02-03 05:30:00+05:30,7392.45,7419.4,7350.3,7361.8
2016-02-04 05:30:00+05:30,7411.45,7457.05,7365.95,7404.0
2016-02-05 05:30:00+05:30,7418.25,7503.15,7406.65,7489.1
2016-02-08 05:30:00+05:30,7489.7,7512.55,7363.2,7387.25
2016-02-09 05:30:00+05:30,7303.95,7323.45,7275.15,7298.2
2016-02-10 05:30:00+05:30,7264.3,7271.85,7177.75,7215.7
2016-02-11 05:30:00+05:30,7203.6,7208.65,6959.95,6976.35
2016-02-12 05:30:00+05:30,7023.65,7034.8,6869.0,6980.95
2016-02-15 05:30:00+05:30,7057.35,7182.8,7056.8,7162.95
