Signal_Date,Entry_Price,Exit_Price,Exit_Date,Exit_Reason,Return_Pct,Holding_Days,Stop_Loss,Target_Price,Symbol
2021-06-01,987.3748779296875,921.8654906873319,2021-06-02,Target_Hit,-6.634702655157147,1,892.2747775044082,921.8654906873319,RELIANCE.NS
2021-06-03,1005.9259643554688,909.1187467146541,2021-06-04,Target_Hit,-9.623692107683327,1,893.2990703914683,909.1187467146541,RELIANCE.NS
2021-06-04,997.2080688476562,958.2848664502153,2021-06-07,Target_Hit,-3.903217754988628,3,905.9320434049215,958.2848664502153,RELIANCE.NS
2021-07-16,965.0062255859375,943.8549964513492,2021-07-27,Stop_Loss,-2.1918230757263375,11,943.8549964513492,1039.2410040209252,RELIANCE.NS
2021-09-01,1035.677734375,983.8047272546104,2021-09-02,Target_Hit,-5.008605032113913,1,932.8454455587007,983.8047272546104,RELIANCE.NS
2021-09-02,1048.149169921875,951.8951912047526,2021-09-03,Target_Hit,-9.18323283357624,1,921.0820085197854,951.8951912047526,RELIANCE.NS
2021-09-06,1108.085205078125,947.6466396394968,2021-09-07,Target_Hit,-14.478901505350986,1,927.8659912762856,947.6466396394968,RELIANCE.NS
2022-02-09,1088.8526611328125,1118.774930011545,2022-02-17,Target_Hit,2.74805489730834,8,1054.8188905598922,1118.774930011545,RELIANCE.NS
2022-02-15,1104.5904541015625,1055.2756253778728,2022-02-24,Stop_Loss,-4.464535117117303,9,1055.2756253778728,1142.9869057502729,RELIANCE.NS
2022-02-21,1096.3447265625,1056.6460670952029,2022-02-24,Stop_Loss,-3.621001543170557,3,1056.6460670952029,1142.9869057502729,RELIANCE.NS
2022-03-24,1178.002685546875,1142.9869057502729,2022-03-25,Target_Hit,-2.9724702860372894,1,1067.0162307067358,1142.9869057502729,RELIANCE.NS
2022-05-19,1132.8680419921875,1185.7689208984375,2022-06-30,Time_Exit,4.66964173631573,42,1082.6854103802077,1304.7731467025958,RELIANCE.NS
2022-05-20,1198.9256591796875,1132.0229967577814,2022-05-23,Target_Hit,-5.580217748253163,3,1103.4026412800768,1132.0229967577814,RELIANCE.NS
2022-05-23,1190.908447265625,1133.3933770518554,2022-05-24,Target_Hit,-4.829512322784055,1,1103.996418885784,1133.3933770518554,RELIANCE.NS
2022-08-24,1209.8497314453125,1151.7123816357434,2022-09-16,Stop_Loss,-4.805336423071065,23,1151.7123816357434,1287.0479508350386,RELIANCE.NS
2022-09-09,1177.5611572265625,1157.578374439265,2022-09-16,Stop_Loss,-1.6969634795327113,7,1157.578374439265,1223.7139850665083,RELIANCE.NS
2022-11-09,1193.46484375,1149.466090273219,2022-11-28,Stop_Loss,-3.68664009729286,19,1149.466090273219,1223.7139850665083,RELIANCE.NS
2022-12-05,1229.4200439453125,1146.7162695002469,2022-12-23,Stop_Loss,-6.7270559685737865,18,1146.7162695002469,1247.1112450841752,RELIANCE.NS
2023-05-02,1118.7816162109375,1142.247583492427,2023-05-03,Stop_Loss,2.097457353738398,1,1142.247583492427,1262.6710440545883,RELIANCE.NS
2023-05-08,1132.9207763671875,1110.9215603231803,2023-05-09,Target_Hit,-1.941814158846099,1,1091.6033263738211,1110.9215603231803,RELIANCE.NS
2023-06-09,1137.5269775390625,1163.0783205249425,2023-06-14,Target_Hit,2.2462186383621416,5,1123.3419687510764,1163.0783205249425,RELIANCE.NS
2023-06-12,1138.53515625,1163.0783205249425,2023-06-14,Target_Hit,2.155679088187353,2,1126.7563179342822,1163.0783205249425,RELIANCE.NS
2023-06-13,1155.35546875,1163.0783205249425,2023-06-14,Target_Hit,0.6684394529501771,1,1128.3834200937229,1163.0783205249425,RELIANCE.NS
2023-07-05,1184.527587890625,1184.2984822350734,2023-07-06,Target_Hit,-0.01934152128610241,1,1139.6810664262143,1184.2984822350734,RELIANCE.NS
2023-07-06,1209.3914794921875,1184.2984822350734,2023-07-07,Target_Hit,-2.07484488543366,1,1144.8141488097256,1184.2984822350734,RELIANCE.NS
2023-11-20,1170.70166015625,1200.0022007952118,2023-11-21,Stop_Loss,2.5028187484633078,1,1200.0022007952118,1308.9614722453714,RELIANCE.NS
2023-11-22,1190.0609130859375,1195.8911583187871,2023-11-23,Stop_Loss,0.4899114968603798,1,1195.8911583187871,1308.9614722453714,RELIANCE.NS
2023-11-29,1196.289794921875,1189.9612940264415,2023-11-30,Target_Hit,-0.5290106897423483,1,1176.1082864562932,1189.9612940264415,RELIANCE.NS
2023-12-07,1224.3695068359375,1201.895768374035,2023-12-08,Target_Hit,-1.835535623553708,1,1180.9418462059707,1201.895768374035,RELIANCE.NS
2023-12-08,1223.7216796875,1201.895768374035,2023-12-11,Target_Hit,-1.7835682472372834,3,1184.7789759105292,1201.895768374035,RELIANCE.NS
2024-03-22,1450.1033935546875,1408.120916820004,2024-05-07,Stop_Loss,-2.8951367827483336,46,1408.120916820004,1507.3341149979008,RELIANCE.NS
2024-03-26,1436.6988525390625,1436.8483464149253,2024-03-27,Target_Hit,0.010405373095318207,1,1411.733633980725,1436.8483464149253,RELIANCE.NS
2024-03-27,1487.8004150390625,1436.8483464149253,2024-03-28,Target_Hit,-3.424657508433307,1,1412.4561372310984,1436.8483464149253,RELIANCE.NS
2024-03-28,1480.8240966796875,1440.1122269007035,2024-04-01,Target_Hit,-2.7492711572068824,4,1419.2082000493178,1440.1122269007035,RELIANCE.NS
2024-05-28,1451.2742919921875,1420.7779102690051,2024-05-30,Stop_Loss,-2.101352025006899,2,1420.7779102690051,1500.856084215032,RELIANCE.NS
