Timestamp,Open,High,Low,Close,Volume,Date
1609459200,274.9,280.0,274.4,279.4,24531791,2021-01-01 05:30:00+05:30
1609718400,281.85,283.9,277.75,281.05,31450608,2021-01-04 05:30:00+05:30
1609804800,278.05,282.45,277.0,281.75,27393072,2021-01-05 05:30:00+05:30
1609891200,283.0,289.15,281.4,285.05,40765708,2021-01-06 05:30:00+05:30
1609977600,289.0,291.8,287.0,287.7,30546600,2021-01-07 05:30:00+05:30
1610064000,290.1,291.4,285.2,286.0,32543357,2021-01-08 05:30:00+05:30
1610323200,288.0,288.2,279.6,282.5,29703173,2021-01-11 05:30:00+05:30
1610409600,280.0,293.85,277.9,292.5,44307145,2021-01-12 05:30:00+05:30
1610496000,296.0,308.0,294.5,306.8,78042133,2021-01-13 05:30:00+05:30
1610582400,306.7,309.25,303.8,307.25,40123498,2021-01-14 05:30:00+05:30
1610668800,306.8,310.9,301.3,303.85,35307601,2021-01-15 05:30:00+05:30
1610928000,303.5,308.65,292.2,294.45,54969750,2021-01-18 05:30:00+05:30
1611014400,297.65,302.5,296.4,298.6,35803901,2021-01-19 05:30:00+05:30
1611100800,298.8,304.7,296.85,302.55,33759304,2021-01-20 05:30:00+05:30
1611187200,304.0,305.15,291.5,294.85,29995203,2021-01-21 05:30:00+05:30
1611273600,295.5,298.0,282.4,283.7,44440810,2021-01-22 05:30:00+05:30
1611532800,284.5,288.0,277.05,280.95,34034630,2021-01-25 05:30:00+05:30
1611705600,280.2,284.85,272.7,275.65,39211107,2021-01-27 05:30:00+05:30
1611792000,271.9,283.35,269.5,282.35,48717297,2021-01-28 05:30:00+05:30
1611878400,285.6,290.65,279.1,282.1,42300984,2021-01-29 05:30:00+05:30
1612137600,285.1,313.9,282.75,310.7,103414068,2021-02-01 05:30:00+05:30
1612224000,315.0,337.4,315.0,333.1,121434166,2021-02-02 05:30:00+05:30
1612310400,333.75,339.9,325.8,335.95,66420168,2021-02-03 05:30:00+05:30
1612396800,334.4,358.0,331.1,355.1,145203439,2021-02-04 05:30:00+05:30
1612483200,387.0,408.35,385.15,393.1,214955688,2021-02-05 05:30:00+05:30
1612742400,398.0,407.8,394.75,397.05,79389205,2021-02-08 05:30:00+05:30
1612828800,396.75,403.5,389.0,394.8,63869990,2021-02-09 05:30:00+05:30
