,Entry_Date,Exit_Date,Days_in_Trade,Entry_Price,Exit_Price,Target_Price,Stop_Loss,Shares,PnL,PnL_Pct,Exit_Reason,Risk_Amount
0,2021-06-28 05:30:00+05:30,2021-07-09 05:30:00+05:30,11,426.75,427.5,489.75,405.75,95,71.25,0.17574692442882248,Days exceded,2000.0
1,2021-09-07 05:30:00+05:30,2021-09-20 05:30:00+05:30,13,429.1,453.5,492.1,408.1,95,2317.9999999999977,5.686320205080396,Days exceded,2000.0
2,2021-09-15 05:30:00+05:30,2021-09-27 05:30:00+05:30,12,443.85,450.55,509.85,421.85,90,602.999999999999,1.5095189816379382,Days exceded,2000.0
3,2021-12-06 05:30:00+05:30,2021-12-17 05:30:00+05:30,11,465.3,481.4,534.3,442.3,86,1384.5999999999972,3.460133247367282,Days exceded,2000.0
4,2021-12-07 05:30:00+05:30,2021-12-20 05:30:00+05:30,13,476.7,453.2,547.2,453.2,85,-1997.5,-4.9297251940423745,StopLoss,2000.0
5,2022-03-04 05:30:00+05:30,2022-03-07 05:30:00+05:30,3,461.95,438.95,530.95,438.95,86,-1978.0,-4.978893819677454,StopLoss,2000.0
6,2022-07-05 05:30:00+05:30,2022-07-18 05:30:00+05:30,13,472.15,491.5,542.65,448.65,85,1644.7500000000018,4.09827385364821,Days exceded,2000.0
7,2022-07-11 05:30:00+05:30,2022-07-22 05:30:00+05:30,11,488.2,520.2,560.2,464.2,83,2656.0000000000045,6.554690700532581,Days exceded,2000.0
8,2022-08-30 05:30:00+05:30,2022-09-12 05:30:00+05:30,13,531.25,558.6,610.75,504.75,75,2051.250000000002,5.148235294117652,Days exceded,2000.0
9,2022-09-06 05:30:00+05:30,2022-09-19 05:30:00+05:30,13,537.8,574.4,617.3,511.29999999999995,75,2745.000000000002,6.805503904797328,Days exceded,2000.0
10,2022-09-07 05:30:00+05:30,2022-09-19 05:30:00+05:30,12,532.85,574.4,612.35,506.35,75,3116.2499999999964,7.797691658065113,Days exceded,2000.0
11,2022-10-21 05:30:00+05:30,2022-11-01 05:30:00+05:30,11,560.85,585.75,644.85,532.85,71,1767.8999999999983,4.439689756619412,Days exceded,2000.0
12,2022-10-24 05:30:00+05:30,2022-11-04 05:30:00+05:30,11,570.5,596.95,656.0,542.0,70,1851.5000000000032,4.636283961437344,Days exceded,2000.0
13,2022-12-30 05:30:00+05:30,2023-01-10 05:30:00+05:30,11,613.7,609.0,705.2,583.2,65,-305.50000000000296,-0.7658465048069163,Days exceded,2000.0
14,2023-01-02 05:30:00+05:30,2023-01-13 05:30:00+05:30,11,612.2,602.9,703.7,581.7,65,-604.5000000000044,-1.5191114015027878,Days exceded,2000.0
15,2023-04-21 05:30:00+05:30,2023-05-02 05:30:00+05:30,11,543.15,580.85,624.15,516.15,74,2789.8000000000034,6.940992359385077,Days exceded,2000.0
16,2023-04-24 05:30:00+05:30,2023-05-05 05:30:00+05:30,11,554.6,588.25,637.1,527.1,72,2422.7999999999984,6.067435989902628,Days exceded,2000.0
17,2023-06-27 05:30:00+05:30,2023-07-10 05:30:00+05:30,13,566.1,599.8,650.1,538.1,71,2392.6999999999953,5.953011835364765,Days exceded,2000.0
18,2023-06-30 05:30:00+05:30,2023-07-11 05:30:00+05:30,11,572.85,595.95,658.35,544.35,70,1617.0000000000016,4.032469232783455,Days exceded,2000.0
19,2023-07-03 05:30:00+05:30,2023-07-14 05:30:00+05:30,11,585.45,591.3,672.45,556.45,68,397.7999999999938,0.9992313604919136,Days exceded,2000.0
20,2023-07-04 05:30:00+05:30,2023-07-17 05:30:00+05:30,13,589.25,602.85,676.25,560.25,68,924.8000000000015,2.308018667798052,Days exceded,2000.0
21,2023-07-05 05:30:00+05:30,2023-07-17 05:30:00+05:30,12,590.6,602.85,679.1,561.1,67,820.75,2.0741618692854726,Days exceded,2000.0
22,2023-10-09 05:30:00+05:30,2023-10-20 05:30:00+05:30,11,585.1,570.0,672.1,556.1,68,-1026.8000000000015,-2.5807554264228374,Days exceded,2000.0
23,2023-10-10 05:30:00+05:30,2023-10-20 05:30:00+05:30,10,591.65,562.15,680.15,562.15,67,-1976.5,-4.9860559452378945,StopLoss,2000.0
24,2023-10-11 05:30:00+05:30,2023-10-23 05:30:00+05:30,12,588.35,559.35,675.35,559.35,68,-1972.0,-4.929038837426702,StopLoss,2000.0
