pattern_start_date,pattern_end_date,confirmation_date,entry_date,entry_price,stop_loss,target,risk,potential_reward,consecutive_reds,status,exit_price,exit_date,pnl,pnl_percent
2022-04-30 00:00:00+05:30,2022-06-30 00:00:00+05:30,2022-07-31 00:00:00+05:30,2022-08-31 00:00:00+05:30,3327.0,3023.85,3933.3,303.1500000000001,606.3000000000002,3,Loss,3023.85,2022-09-30 00:00:00+05:30,-303.1500000000001,-9.111812443642926
2023-02-28 00:00:00+05:30,2023-04-30 00:00:00+05:30,2023-05-31 00:00:00+05:30,2023-06-30 00:00:00+05:30,3314.0,3070.25,3801.5,243.75,487.5,3,Win,3801.5,2023-12-31 00:00:00+05:30,487.5,14.710319855159929
2024-03-31 00:00:00+05:30,2024-05-31 00:00:00+05:30,2024-06-30 00:00:00+05:30,2024-07-31 00:00:00+05:30,3884.0,3653.75,4344.5,230.25,460.5,3,Win,4344.5,2024-08-31 00:00:00+05:30,460.5,11.85633367662204
