Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,742.5,788.33,717.5,742.85
2022-02-28 00:00:00+05:30,754.25,769.98,703.58,713.13
2022-03-31 00:00:00+05:30,693.25,759.4,646.0,735.18
2022-04-30 00:00:00+05:30,738.2,861.05,661.13,692.3
2022-05-31 00:00:00+05:30,681.03,710.25,639.15,694.48
2022-06-30 00:00:00+05:30,690.0,700.38,635.8,674.0
2022-07-31 00:00:00+05:30,671.98,719.3,665.03,717.1
2022-08-31 00:00:00+05:30,719.5,756.95,706.48,743.05
2022-09-30 00:00:00+05:30,732.38,770.48,682.5,710.68
2022-10-31 00:00:00+05:30,704.98,749.0,692.0,748.35
2022-11-30 00:00:00+05:30,751.75,821.0,744.8,804.23
2022-12-31 00:00:00+05:30,811.0,834.7,792.73,814.08
2023-01-31 00:00:00+05:30,813.5,851.2,780.0,801.75
2023-02-28 00:00:00+05:30,812.0,840.95,788.65,799.8
2023-03-31 00:00:00+05:30,806.0,822.98,766.03,804.78
2023-04-30 00:00:00+05:30,803.78,860.0,801.38,843.8
2023-05-31 00:00:00+05:30,844.35,867.23,798.68,805.43
2023-06-30 00:00:00+05:30,809.95,854.4,789.5,850.7
2023-07-31 00:00:00+05:30,856.25,878.75,813.58,825.6
2023-08-31 00:00:00+05:30,827.23,833.73,779.2,785.73
2023-09-30 00:00:00+05:30,785.5,835.0,757.5,763.15
2023-10-31 00:00:00+05:30,763.5,777.88,730.13,738.25
2023-11-30 00:00:00+05:30,731.13,786.23,731.13,779.4
2023-12-31 00:00:00+05:30,778.95,860.7,776.05,854.63
2024-01-31 00:00:00+05:30,853.0,854.58,690.13,731.28
2024-02-29 00:00:00+05:30,732.53,740.43,681.78,701.7
2024-03-31 00:00:00+05:30,700.0,735.8,700.0,723.95
2024-04-30 00:00:00+05:30,729.0,778.7,727.8,760.05
2024-05-31 00:00:00+05:30,761.0,772.5,713.4,765.78
2024-06-30 00:00:00+05:30,799.5,858.48,727.0,841.9
2024-07-31 00:00:00+05:30,840.0,897.0,794.03,807.88
2024-08-31 00:00:00+05:30,811.45,837.98,796.65,818.45
2024-09-30 00:00:00+05:30,823.4,894.0,811.6,866.03
2024-10-31 00:00:00+05:30,862.0,884.33,806.5,867.85
2024-11-30 00:00:00+05:30,866.5,918.05,836.05,898.03
2024-12-31 00:00:00+05:30,901.75,940.0,882.8,886.43
2025-01-31 00:00:00+05:30,886.73,901.73,812.15,849.38
