Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,722.31,810.46,715.69,744.85
2022-02-28 00:00:00+05:30,753.01,767.01,596.65,638.33
2022-03-31 00:00:00+05:30,636.6,781.3,632.62,738.23
2022-04-30 00:00:00+05:30,739.1,802.36,739.1,789.36
2022-05-31 00:00:00+05:30,782.31,813.44,703.17,747.83
2022-06-30 00:00:00+05:30,741.11,755.36,582.74,606.63
2022-07-31 00:00:00+05:30,604.32,714.64,596.6,710.89
2022-08-31 00:00:00+05:30,722.31,771.47,692.0,737.9
2022-09-30 00:00:00+05:30,732.91,736.7,627.34,644.66
2022-10-31 00:00:00+05:30,643.84,702.17,633.29,700.44
2022-11-30 00:00:00+05:30,707.73,761.21,682.12,757.51
2022-12-31 00:00:00+05:30,748.21,774.11,678.66,686.96
2023-01-31 00:00:00+05:30,689.31,735.45,681.54,726.34
2023-02-28 00:00:00+05:30,733.92,748.21,656.36,665.91
2023-03-31 00:00:00+05:30,670.7,693.72,659.58,688.4
2023-04-30 00:00:00+05:30,689.22,717.23,676.55,710.13
2023-05-31 00:00:00+05:30,713.96,728.98,630.27,657.18
2023-06-30 00:00:00+05:30,657.08,670.41,638.38,659.53
2023-07-31 00:00:00+05:30,660.34,660.87,595.69,599.24
2023-08-31 00:00:00+05:30,595.69,603.89,553.44,567.06
2023-09-30 00:00:00+05:30,568.83,613.0,566.91,591.13
2023-10-31 00:00:00+05:30,590.85,609.02,506.62,518.47
2023-11-30 00:00:00+05:30,509.93,549.55,507.97,547.39
2023-12-31 00:00:00+05:30,547.39,589.69,542.64,563.32
2024-01-31 00:00:00+05:30,564.03,579.19,511.8,515.78
2024-02-29 00:00:00+05:30,514.44,518.61,433.72,450.56
2024-03-31 00:00:00+05:30,454.68,471.04,429.55,437.41
2024-04-30 00:00:00+05:30,441.25,492.95,439.76,486.48
2024-05-31 00:00:00+05:30,487.39,517.99,445.42,488.06
2024-06-30 00:00:00+05:30,495.93,555.11,458.52,547.58
2024-07-31 00:00:00+05:30,546.82,556.65,501.01,548.73
2024-08-31 00:00:00+05:30,551.56,579.38,498.81,573.96
2024-09-30 00:00:00+05:30,577.46,598.28,558.81,588.16
2024-10-31 00:00:00+05:30,587.06,599.53,496.36,531.08
2024-11-30 00:00:00+05:30,531.08,558.75,483.75,545.0
2024-12-31 00:00:00+05:30,546.9,572.7,493.0,501.0
2025-01-31 00:00:00+05:30,498.45,617.8,497.2,603.75
