Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,732.0,795.0,689.0,716.3
2022-02-28 00:00:00+05:30,721.0,750.85,651.95,707.5
2022-03-31 00:00:00+05:30,702.95,781.0,663.55,774.2
2022-04-30 00:00:00+05:30,774.5,924.65,774.5,856.4
2022-05-31 00:00:00+05:30,850.0,864.2,668.15,739.85
2022-06-30 00:00:00+05:30,739.8,758.5,653.1,672.05
2022-07-31 00:00:00+05:30,670.0,775.65,656.0,763.7
2022-08-31 00:00:00+05:30,770.0,891.9,765.05,842.15
2022-09-30 00:00:00+05:30,841.8,987.85,801.0,820.65
2022-10-31 00:00:00+05:30,821.0,835.0,771.65,823.55
2022-11-30 00:00:00+05:30,827.7,916.0,823.5,881.0
2022-12-31 00:00:00+05:30,884.75,912.0,785.3,818.1
2023-01-31 00:00:00+05:30,823.0,826.75,537.0,612.65
2023-02-28 00:00:00+05:30,627.0,629.0,395.1,592.45
2023-03-31 00:00:00+05:30,598.0,722.75,571.55,631.9
2023-04-30 00:00:00+05:30,638.55,683.0,622.15,681.3
2023-05-31 00:00:00+05:30,683.8,785.65,656.75,738.85
2023-06-30 00:00:00+05:30,730.5,759.9,703.0,739.25
2023-07-31 00:00:00+05:30,744.5,780.0,708.0,777.85
2023-08-31 00:00:00+05:30,778.95,869.0,751.55,792.2
2023-09-30 00:00:00+05:30,780.0,889.5,779.65,825.15
2023-10-31 00:00:00+05:30,826.0,845.45,754.5,784.75
2023-11-30 00:00:00+05:30,784.75,854.4,767.2,825.5
2023-12-31 00:00:00+05:30,839.2,1102.4,825.5,1024.35
2024-01-31 00:00:00+05:30,1026.55,1229.9,1023.0,1207.65
2024-02-29 00:00:00+05:30,1213.6,1343.0,1200.3,1320.5
2024-03-31 00:00:00+05:30,1335.0,1358.7,1188.1,1341.85
2024-04-30 00:00:00+05:30,1356.8,1424.95,1270.0,1324.9
2024-05-31 00:00:00+05:30,1333.95,1457.05,1240.0,1437.4
2024-06-30 00:00:00+05:30,1549.0,1621.4,1160.6,1478.1
2024-07-31 00:00:00+05:30,1483.0,1577.9,1419.0,1569.9
2024-08-31 00:00:00+05:30,1580.95,1604.95,1452.0,1481.9
2024-09-30 00:00:00+05:30,1490.0,1499.5,1394.45,1448.2
2024-10-31 00:00:00+05:30,1448.2,1472.85,1303.15,1375.95
2024-11-30 00:00:00+05:30,1386.5,1397.95,995.65,1190.05
2024-12-31 00:00:00+05:30,1201.9,1309.5,1174.25,1231.1
2025-01-31 00:00:00+05:30,1223.0,1237.6,1010.75,1099.35
