Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,3258.7,3585.65,3251.5,3564.65
2022-02-28 00:00:00+05:30,3577.0,3660.0,3435.0,3530.35
2022-03-31 00:00:00+05:30,3498.3,3737.0,3125.0,3653.0
2022-04-30 00:00:00+05:30,3636.0,4000.0,3600.0,3729.55
2022-05-31 00:00:00+05:30,3720.0,3958.0,3460.0,3864.1
2022-06-30 00:00:00+05:30,3877.2,3971.0,3574.8,3706.6
2022-07-31 00:00:00+05:30,3667.95,4091.0,3601.1,3914.45
2022-08-31 00:00:00+05:30,3919.95,4128.95,3915.0,4084.85
2022-09-30 00:00:00+05:30,4010.0,4131.75,3461.25,3527.75
2022-10-31 00:00:00+05:30,3527.75,3727.0,3475.0,3671.85
2022-11-30 00:00:00+05:30,3686.55,3818.65,3585.0,3750.7
2022-12-31 00:00:00+05:30,3744.05,3744.05,3524.05,3616.05
2023-01-31 00:00:00+05:30,3617.0,3995.0,3520.05,3818.25
2023-02-28 00:00:00+05:30,3829.45,3934.95,3625.6,3661.2
2023-03-31 00:00:00+05:30,3670.0,3945.5,3636.9,3884.75
2023-04-30 00:00:00+05:30,3904.8,4439.7,3888.2,4431.95
2023-05-31 00:00:00+05:30,4439.95,4664.55,4424.05,4567.15
2023-06-30 00:00:00+05:30,4587.0,4829.9,4567.25,4691.55
2023-07-31 00:00:00+05:30,4685.2,4995.1,4588.05,4931.4
2023-08-31 00:00:00+05:30,4941.75,4978.65,4541.0,4613.8
2023-09-30 00:00:00+05:30,4622.4,5274.9,4619.0,5063.7
2023-10-31 00:00:00+05:30,5065.0,5510.0,4903.05,5314.05
2023-11-30 00:00:00+05:30,5305.0,6128.9,5285.0,6090.55
2023-12-31 00:00:00+05:30,6050.0,6833.95,5987.85,6797.25
2024-01-31 00:00:00+05:30,6770.0,7686.0,6560.95,7667.55
2024-02-29 00:00:00+05:30,7680.0,8650.0,7633.5,7909.35
2024-03-31 00:00:00+05:30,7955.0,9287.8,7945.3,9148.15
2024-04-30 00:00:00+05:30,9194.8,9357.95,8641.4,8903.65
2024-05-31 00:00:00+05:30,8944.0,9258.6,8592.8,9084.75
2024-06-30 00:00:00+05:30,9180.0,10038.8,8808.0,9501.65
2024-07-31 00:00:00+05:30,9505.0,9909.95,8744.6,9664.2
2024-08-31 00:00:00+05:30,9844.0,10921.35,9369.3,10891.55
2024-09-30 00:00:00+05:30,10926.0,12774.0,10780.0,12345.95
2024-10-31 00:00:00+05:30,12414.25,12500.0,9640.0,9836.3
2024-11-30 00:00:00+05:30,9905.0,10079.8,8992.25,9033.65
2024-12-31 00:00:00+05:30,9078.8,9240.0,8719.9,8798.6
2025-01-31 00:00:00+05:30,8754.05,9109.95,8290.35,8847.8
