Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,359.4,395.23,356.44,371.45
2022-02-28 00:00:00+05:30,376.4,389.6,347.59,368.55
2022-03-31 00:00:00+05:30,362.36,366.0,334.51,350.77
2022-04-30 00:00:00+05:30,349.86,368.0,336.68,358.15
2022-05-31 00:00:00+05:30,353.11,390.35,348.6,369.37
2022-06-30 00:00:00+05:30,368.0,376.02,326.2,332.22
2022-07-31 00:00:00+05:30,329.0,371.38,327.2,362.07
2022-08-31 00:00:00+05:30,363.0,388.49,362.26,383.09
2022-09-30 00:00:00+05:30,375.0,397.44,351.54,363.84
2022-10-31 00:00:00+05:30,361.6,385.0,354.66,380.39
2022-11-30 00:00:00+05:30,381.6,399.51,374.33,389.41
2022-12-31 00:00:00+05:30,391.0,392.35,358.84,365.45
2023-01-31 00:00:00+05:30,365.56,367.3,336.77,346.2
2023-02-28 00:00:00+05:30,349.0,360.78,337.55,345.85
2023-03-31 00:00:00+05:30,345.85,353.0,328.7,346.57
2023-04-30 00:00:00+05:30,346.8,388.66,346.64,387.61
2023-05-31 00:00:00+05:30,383.6,412.88,378.0,402.87
2023-06-30 00:00:00+05:30,393.6,395.83,363.06,369.31
2023-07-31 00:00:00+05:30,371.2,397.55,367.21,371.31
2023-08-31 00:00:00+05:30,370.0,373.15,349.3,351.75
2023-09-30 00:00:00+05:30,352.78,367.2,345.8,347.14
2023-10-31 00:00:00+05:30,346.0,355.99,337.68,347.88
2023-11-30 00:00:00+05:30,346.2,356.85,343.57,351.09
2023-12-31 00:00:00+05:30,352.0,385.3,349.65,381.62
2024-01-31 00:00:00+05:30,381.8,383.8,350.48,365.05
2024-02-29 00:00:00+05:30,366.0,370.0,333.48,337.89
2024-03-31 00:00:00+05:30,339.1,360.78,339.0,357.1
2024-04-30 00:00:00+05:30,359.0,369.1,320.4,324.79
2024-05-31 00:00:00+05:30,318.0,344.4,308.77,336.08
2024-06-30 00:00:00+05:30,344.29,369.59,320.49,360.5
2024-07-31 00:00:00+05:30,360.5,374.0,345.81,361.58
2024-08-31 00:00:00+05:30,361.42,365.58,348.91,356.16
2024-09-30 00:00:00+05:30,356.4,388.4,351.3,370.79
2024-10-31 00:00:00+05:30,369.4,383.2,344.79,346.22
2024-11-30 00:00:00+05:30,347.92,361.1,335.81,353.05
2024-12-31 00:00:00+05:30,353.0,362.6,346.67,357.21
2025-01-31 00:00:00+05:30,355.85,387.62,344.75,380.26
