Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,218.05,227.3,209.55,220.2
2022-02-28 00:00:00+05:30,221.0,238.5,207.0,215.85
2022-03-31 00:00:00+05:30,214.4,258.0,212.45,250.65
2022-04-30 00:00:00+05:30,250.0,273.15,248.8,259.55
2022-05-31 00:00:00+05:30,258.0,282.35,249.15,270.65
2022-06-30 00:00:00+05:30,270.65,275.8,258.55,273.5
2022-07-31 00:00:00+05:30,273.5,305.9,271.2,303.05
2022-08-31 00:00:00+05:30,304.0,321.4,303.1,320.5
2022-09-30 00:00:00+05:30,319.5,349.55,316.0,332.2
2022-10-31 00:00:00+05:30,332.9,353.2,323.25,348.7
2022-11-30 00:00:00+05:30,349.25,361.45,334.4,340.0
2022-12-31 00:00:00+05:30,341.7,347.35,325.35,331.55
2023-01-31 00:00:00+05:30,330.9,355.0,326.0,352.35
2023-02-28 00:00:00+05:30,353.0,394.0,329.1,376.7
2023-03-31 00:00:00+05:30,374.25,393.6,369.65,383.5
2023-04-30 00:00:00+05:30,384.0,428.25,378.5,425.55
2023-05-31 00:00:00+05:30,426.0,452.0,411.35,445.5
2023-06-30 00:00:00+05:30,447.0,455.9,433.85,451.6
2023-07-31 00:00:00+05:30,451.6,499.7,450.05,465.7
2023-08-31 00:00:00+05:30,466.0,468.85,436.1,439.7
2023-09-30 00:00:00+05:30,440.0,457.0,436.65,444.4
2023-10-31 00:00:00+05:30,441.0,458.2,427.05,428.4
2023-11-30 00:00:00+05:30,430.0,444.5,425.5,435.8
2023-12-31 00:00:00+05:30,437.9,467.9,437.4,462.1
2024-01-31 00:00:00+05:30,463.5,481.45,437.4,441.55
2024-02-29 00:00:00+05:30,442.0,447.75,399.4,406.3
2024-03-31 00:00:00+05:30,408.9,438.0,399.35,428.35
2024-04-30 00:00:00+05:30,429.1,443.3,416.0,435.65
2024-05-31 00:00:00+05:30,436.0,446.0,422.35,426.45
2024-06-30 00:00:00+05:30,434.0,441.65,402.85,424.9
2024-07-31 00:00:00+05:30,426.3,510.65,422.55,495.35
2024-08-31 00:00:00+05:30,495.95,509.3,479.55,501.9
2024-09-30 00:00:00+05:30,504.0,528.5,497.15,518.15
2024-10-31 00:00:00+05:30,518.15,519.75,470.0,488.8
2024-11-30 00:00:00+05:30,491.0,493.45,455.4,476.75
2024-12-31 00:00:00+05:30,476.0,484.65,451.65,483.65
2025-01-31 00:00:00+05:30,486.0,491.0,430.1,447.5
