Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,192.0,203.45,184.0,198.53
2022-02-28 00:00:00+05:30,197.5,197.5,165.55,174.9
2022-03-31 00:00:00+05:30,173.25,185.8,165.9,179.68
2022-04-30 00:00:00+05:30,180.78,199.4,180.58,181.3
2022-05-31 00:00:00+05:30,180.05,185.7,156.1,163.1
2022-06-30 00:00:00+05:30,164.0,167.28,146.68,154.2
2022-07-31 00:00:00+05:30,154.25,166.13,152.07,165.15
2022-08-31 00:00:00+05:30,165.5,177.63,160.1,164.33
2022-09-30 00:00:00+05:30,162.75,172.8,150.43,152.4
2022-10-31 00:00:00+05:30,153.18,157.4,144.03,151.82
2022-11-30 00:00:00+05:30,151.82,171.88,149.4,170.58
2022-12-31 00:00:00+05:30,171.0,175.73,160.07,165.25
2023-01-31 00:00:00+05:30,165.03,179.0,163.78,171.63
2023-02-28 00:00:00+05:30,171.63,172.35,157.03,158.68
2023-03-31 00:00:00+05:30,158.4,180.8,157.25,172.15
2023-04-30 00:00:00+05:30,169.0,179.15,163.5,178.8
2023-05-31 00:00:00+05:30,179.15,187.45,178.18,181.75
2023-06-30 00:00:00+05:30,182.65,190.23,177.3,182.35
2023-07-31 00:00:00+05:30,182.6,198.95,181.58,188.75
2023-08-31 00:00:00+05:30,188.75,189.9,169.55,170.28
2023-09-30 00:00:00+05:30,170.53,184.38,170.28,173.3
2023-10-31 00:00:00+05:30,174.25,178.85,165.73,174.63
2023-11-30 00:00:00+05:30,175.28,219.38,175.28,217.85
2023-12-31 00:00:00+05:30,220.0,241.25,216.23,225.33
2024-01-31 00:00:00+05:30,229.7,258.93,222.55,251.18
2024-02-29 00:00:00+05:30,252.28,343.98,249.55,301.93
2024-03-31 00:00:00+05:30,305.5,326.5,278.2,301.2
2024-04-30 00:00:00+05:30,301.5,312.27,282.1,303.68
2024-05-31 00:00:00+05:30,309.0,331.68,295.02,313.9
2024-06-30 00:00:00+05:30,332.5,343.5,267.1,303.95
2024-07-31 00:00:00+05:30,305.7,359.05,293.4,350.05
2024-08-31 00:00:00+05:30,351.0,365.5,320.65,357.65
2024-09-30 00:00:00+05:30,361.0,376.0,322.95,369.95
2024-10-31 00:00:00+05:30,370.0,373.35,302.25,310.75
2024-11-30 00:00:00+05:30,311.95,319.0,279.35,292.1
2024-12-31 00:00:00+05:30,292.65,308.95,282.05,292.45
2025-01-31 00:00:00+05:30,292.3,299.15,251.5,261.1
