Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,475.55,515.8,472.0,489.05
2022-02-28 00:00:00+05:30,492.8,580.05,487.7,573.75
2022-03-31 00:00:00+05:30,575.25,636.0,555.95,569.5
2022-04-30 00:00:00+05:30,569.9,590.95,476.45,482.65
2022-05-31 00:00:00+05:30,477.85,486.0,384.95,422.55
2022-06-30 00:00:00+05:30,421.0,422.0,308.95,338.65
2022-07-31 00:00:00+05:30,335.0,416.8,326.65,415.05
2022-08-31 00:00:00+05:30,420.0,446.5,407.6,439.0
2022-09-30 00:00:00+05:30,424.0,447.9,358.8,390.55
2022-10-31 00:00:00+05:30,389.0,416.5,379.1,405.65
2022-11-30 00:00:00+05:30,406.0,460.55,406.0,450.7
2022-12-31 00:00:00+05:30,455.0,483.85,427.6,473.35
2023-01-31 00:00:00+05:30,475.95,504.0,458.65,468.4
2023-02-28 00:00:00+05:30,473.0,480.6,398.0,399.2
2023-03-31 00:00:00+05:30,402.0,422.2,381.0,405.35
2023-04-30 00:00:00+05:30,406.5,437.35,394.3,436.1
2023-05-31 00:00:00+05:30,439.0,449.9,397.8,405.9
2023-06-30 00:00:00+05:30,409.05,433.25,405.9,420.95
2023-07-31 00:00:00+05:30,424.0,463.25,417.15,462.6
2023-08-31 00:00:00+05:30,465.0,471.55,438.15,459.85
2023-09-30 00:00:00+05:30,462.95,508.9,462.1,492.65
2023-10-31 00:00:00+05:30,483.1,494.8,448.75,459.5
2023-11-30 00:00:00+05:30,458.5,523.35,456.0,515.65
2023-12-31 00:00:00+05:30,520.05,618.0,514.0,614.85
2024-01-31 00:00:00+05:30,614.5,620.5,537.6,579.35
2024-02-29 00:00:00+05:30,578.0,608.95,496.35,503.85
2024-03-31 00:00:00+05:30,510.0,566.65,501.2,560.25
2024-04-30 00:00:00+05:30,570.0,661.6,561.55,644.4
2024-05-31 00:00:00+05:30,635.9,713.5,611.75,689.35
2024-06-30 00:00:00+05:30,715.0,715.25,594.25,693.55
2024-07-31 00:00:00+05:30,699.0,712.1,633.3,669.6
2024-08-31 00:00:00+05:30,680.0,712.95,608.0,701.35
2024-09-30 00:00:00+05:30,706.7,764.45,645.4,756.2
2024-10-31 00:00:00+05:30,755.0,772.65,666.75,686.05
2024-11-30 00:00:00+05:30,687.5,714.25,622.55,656.2
2024-12-31 00:00:00+05:30,656.2,679.8,597.45,602.45
2025-01-31 00:00:00+05:30,601.5,628.35,562.0,594.3
