Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,154.05,165.15,150.79,161.55
2022-02-28 00:00:00+05:30,162.75,163.35,142.43,156.86
2022-03-31 00:00:00+05:30,155.81,167.55,153.04,162.6
2022-04-30 00:00:00+05:30,162.07,179.93,162.07,170.81
2022-05-31 00:00:00+05:30,169.43,186.26,166.24,174.68
2022-06-30 00:00:00+05:30,174.11,174.75,154.61,158.93
2022-07-31 00:00:00+05:30,158.29,165.94,153.79,160.46
2022-08-31 00:00:00+05:30,161.29,173.78,160.61,172.2
2022-09-30 00:00:00+05:30,168.79,178.84,139.76,159.15
2022-10-31 00:00:00+05:30,159.75,172.69,153.0,171.11
2022-11-30 00:00:00+05:30,172.99,177.41,157.24,168.0
2022-12-31 00:00:00+05:30,168.0,168.64,157.84,160.28
2023-01-31 00:00:00+05:30,160.91,171.23,153.19,162.49
2023-02-28 00:00:00+05:30,168.75,168.75,157.8,166.69
2023-03-31 00:00:00+05:30,166.16,175.5,161.85,169.28
2023-04-30 00:00:00+05:30,170.51,179.93,167.78,177.94
2023-05-31 00:00:00+05:30,179.03,187.2,172.5,175.39
2023-06-30 00:00:00+05:30,174.71,194.78,172.54,191.36
2023-07-31 00:00:00+05:30,190.91,200.25,177.53,199.54
2023-08-31 00:00:00+05:30,196.5,196.5,179.81,183.41
2023-09-30 00:00:00+05:30,185.25,205.95,183.9,199.75
2023-10-31 00:00:00+05:30,198.75,209.0,193.75,202.15
2023-11-30 00:00:00+05:30,202.35,215.1,200.5,208.95
2023-12-31 00:00:00+05:30,211.5,239.95,209.45,237.2
2024-01-31 00:00:00+05:30,237.9,260.0,226.05,259.3
2024-02-29 00:00:00+05:30,259.0,293.65,258.3,282.85
2024-03-31 00:00:00+05:30,285.0,298.9,257.65,276.9
2024-04-30 00:00:00+05:30,280.75,304.35,268.4,301.85
2024-05-31 00:00:00+05:30,301.95,327.75,292.0,310.0
2024-06-30 00:00:00+05:30,335.0,348.7,279.2,330.95
2024-07-31 00:00:00+05:30,331.0,356.95,321.1,348.2
2024-08-31 00:00:00+05:30,351.15,362.5,328.8,337.4
2024-09-30 00:00:00+05:30,338.4,366.25,323.55,352.85
2024-10-31 00:00:00+05:30,351.1,356.0,310.75,320.8
2024-11-30 00:00:00+05:30,322.45,345.4,308.7,329.4
2024-12-31 00:00:00+05:30,328.15,336.25,305.15,308.7
2025-01-31 00:00:00+05:30,308.7,318.0,279.35,301.65
